INDEX,NAME,HEX_BYTES,ROW0,ROW1,ROW2,ROW3,ROW4,ROW5,ROW6,ROW7
55,FA_ZHA,00 20 24 20 2C 32 FC 00,........,..#.....,..#..#..,..#.....,..#.##..,..##..#.,######..,........
56,FA_AIN,08 12 0C 18 30 60 42 7E,....#...,...#..#.,....##..,...##...,..##....,.##.....,.#....#.,.######.
57,FA_GHAIN,00 08 10 0C 10 20 44 38,........,....#...,...#....,....##..,...#....,..#.....,.#...#..,..###...
58,FA_FE,00 04 00 06 86 82 FE 00,........,.....#..,........,.....##.,#....##.,#.....#.,#######.,........
59,FA_GHAF,00 0C 00 0C 0C 84 84 78,........,....##..,........,....##..,....##..,#....#..,#....#..,.####...
60,FA_KAF,01 02 04 00 88 88 F8 00,.......#,......#.,.....#..,........,#...#...,#...#...,#####...,........
61,FA_GAF,05 02 04 00 88 88 F8 00,.....#.#,......#.,.....#..,........,#...#...,#...#...,#####...,........
62,FA_LAM,00 00 10 10 90 90 F0 00,........,........,...#....,...#....,#..#....,#..#....,####....,........
63,FA_MIM,00 00 18 78 40 40 40 00,........,........,...##...,.####...,.#......,.#......,.#......,........
64,FA_NUN,00 00 20 88 88 88 70 00,........,........,..#.....,#...#...,#...#...,#...#...,.###....,........
65,FA_VAV,00 00 30 30 10 20 00 00,........,........,..##....,..##....,...#....,..#.....,........,........
66,FA_HE,00 00 20 50 88 70 00 00,........,........,..#.....,.#.#....,#...#...,.###....,........,........
67,FA_YE,00 00 04 08 84 84 78 00,........,........,.....#..,....#...,#....#..,#....#..,.####...,........
68,SH_SQUARE,FF 81 81 81 81 81 81 FF,########,#......#,#......#,#......#,#......#,#......#,#......#,########
69,SH_SQUARE_FILL,FF FF FF FF FF FF FF FF,########,########,########,########,########,########,########,########
70,SH_CIRCLE,3C 42 81 81 81 42 3C 00,..####..,.#....#.,#......#,#......#,#......#,.#....#.,..####..,........
71,SH_CIRCLE_FILL,3C 7E FF FF FF 7E 3C 00,..####..,.######.,########,########,########,.######.,..####..,........
72,SH_HEART,00 66 FF FF 7E 3C 18 00,........,.##..##.,########,########,.######.,..####..,...##...,........
